Name,Transaction Date,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/29/2014,Self,PANW,"Palo Alto Networks, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/29/2014,Self,QLIK,"Qlik Technologies, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/21/2014,Joint,MDP,Meredith Corporation (NYSE),,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/21/2014,Joint,DE,Deere & Company (NYSE),,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/21/2014,Joint,VOD,Vodafone Group Public Limited Company (NASDAQ),,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/21/2014,Joint,MCHP,Microchip Technology Inc. (NASDAQ),,Sale (Partial),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/16/2019,Self,CVS,CVS Health Corporation,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/17/2019,Joint,NVDA,NVIDIA Corporation,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",11/09/2015,Self,--,FB,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",11/09/2015,Self,--,MMM,Stock,Purchase,"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/23/2015,Self,--,VFC,Stock,Sale (Partial),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/23/2015,Self,--,FEYE,Stock,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/23/2015,Self,--,YHOO,Stock,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/19/2015,Child,--,NFLX,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/19/2015,Child,--,STT,Stock,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/19/2015,Child,--,ORCL,Stock,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/19/2015,Child,--,GILD,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/23/2015,Child,--,MMC,Stock,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/23/2015,Child,--,DIS,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/19/2015,Joint,--,NFLX,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/19/2015,Joint,--,YUM,Stock,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/19/2015,Joint,--,M,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/23/2015,Joint,--,VFC,Stock,Sale (Partial),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",03/06/2017,Joint,GE,General Electric Company,Stock,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",03/06/2017,Joint,CAG,"Conagra Brands, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",03/06/2017,Joint,MCHP,Microchip Technology Incorporated,Stock,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",03/14/2017,Child,ADI,"Analog Devices, Inc.",Stock,Exchange,"$1,001 - $15,000",Shares received in exchange for Linear Technology shares as a result of merger
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",03/14/2017,Child,LLTC,Linear Technology Corporation,Stock,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",03/15/2017,Joint,--,"Raymond James Financial
Rate/Coupon: 6.9
Matures: 03/15/2042",Corporate Bond,Sale (Full),"$1,001 - $15,000",Redemption
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",01/31/2014,Self,LOW,Lowe's Companies Inc. (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",01/31/2014,Self,MO,Altria Group Inc. (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",01/29/2014,Self,LNKD,LinkedIn Corporation (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/10/2014,Joint,CMRE,Costamare Inc. (NYSE),,Purchase,"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/10/2014,Joint,NEE,"NextEra Energy, Inc. (NYSE)",,Purchase,"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/10/2014,Joint,V,Visa Inc. (NYSE),,Purchase,"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",01/29/2014,Self,SYMC,Symantec Corporation (NASDAQ),,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",01/29/2014,Self,BA,The Boeing Company (NYSE),,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/10/2014,Joint,NSRGY,Nestl (OTC Markets),,Sale (Partial),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/10/2014,Joint,GIS,"General Mills, Inc. (NYSE)",,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/10/2014,Joint,EMR,Emerson Electric Co. (NYSE),,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/10/2014,Joint,AAPL,Apple Inc. (NASDAQ),,Sale (Partial),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",01/31/2014,Joint,CLX,The Clorox Company (NYSE),,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/23/2016,Self,AMGN,Amgen Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/13/2016,Self,BIIB,Biogen Inc.,Stock,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/23/2016,Joint,BIIB,Biogen Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/23/2016,Joint,PSA,Public Storage,Stock,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/23/2016,Joint,GILD,Gilead Sciences Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/13/2016,Joint,GS,"The Goldman Sachs Group, Inc.",Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/13/2016,Spouse,GS,"The Goldman Sachs Group, Inc.",Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",06/15/2015,Self,CHL,China Mobile Limited (NYSE),Stock,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",06/15/2015,Self,TRIP,TripAdvisor Inc. (NASDAQ),Stock,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",06/15/2015,Self,CY,Cypress Semiconductor Corporation (NASDAQ),Stock,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/07/2015,Self,M,"Macy's, Inc. (NYSE)",Stock,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/07/2015,Self,GPRO,"GoPro, Inc. (NASDAQ)",Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/10/2015,Self,MRK,Merck & Co. Inc. (NYSE),Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/10/2015,Self,BIIB,Biogen Inc. (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/10/2015,Child,T,"AT&T, Inc. (NYSE)",Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/10/2015,Child,LLTC,Linear Technology Corporation (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/10/2015,Joint,BIIB,Biogen Inc. (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/07/2015,Spouse,T,"AT&T, Inc. (NYSE)",Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/29/2014,Self,SSYS,Stratasys Ltd. (NASDAQ),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/29/2014,Self,CHL,China Mobile Limited (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/29/2014,Self,UL,Unilever plc (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/29/2014,Child,ORCL,Oracle Corporation (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/29/2014,Joint,RTN,Raytheon Co. (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/04/2014,Self,APA,Apache Corp. (NYSE),,Sale (Full),"$50,001 - $100,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/16/2014,Self,SLB,Schlumberger Limited (NYSE),,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/18/2014,Self,CY,Cypress Semiconductor Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/18/2014,Self,AIG,"American International Group, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/18/2014,Self,TU,TELUS Corporation (NYSE),,Purchase,"$1,001 - $15,000",--
